pitcher,pitcher_name,ball_angle,pitch_type,diff2,active_spin,vMove,hMove,Pitches,Whiff,Swing,Whiff_p,GB_p,FB_p,Velocity,RP_z,RP_x,VAA,release_angle_x,release_angle_z,Spin,bat_speed_diff,Zone_loc,EV,LA,Height
434378,"Verlander, Justin",55,FF,0.450273898,0.963356904,19.28145643693108,8.62814044213264,769,82,405,0.10663198959687907,0.2792207792207792,0.5064935064935064,93.46371911573472,7.127334200260078,-1.4325747724317295,-5.708035939156912,-2.2699507203446467,-3.547857396703661,2395.152145643693,0.49596030938173574,0.24967490247074123,90.57727272727273,24.883116883116884,77
450203,"Morton, Charlie",21,FF,4.845008497,0.908304678,10.487344913151365,13.622679900744416,806,72,374,0.08933002481389578,0.2692307692307692,0.34615384615384615,94.12382133995037,5.51287841191067,-2.5007320099255583,-4.998895019451566,-3.8298145107178128,-1.4123696540713067,2248.694789081886,0.20725024177377463,0.20719602977667495,92.13615384615385,17.353846153846153,77
453286,"Scherzer, Max",29,FF,7.933429309,0.937880938,15.92408163265306,10.099591836734694,294,36,162,0.12244897959183673,0.24489795918367346,0.5102040816326531,92.49489795918367,5.571054421768707,-3.0912244897959185,-4.707049153926185,-4.176428752415077,-1.8458764654739686,2298.9523809523807,-0.205642769387852,0.23469387755102042,89.53877551020408,27.755102040816325,75
455119,"Martin, Chris",41,FF,1.104395003,0.95501582,15.53108910891089,9.335643564356436,202,20,106,0.09900990099009901,0.4857142857142857,0.11428571428571428,94.71732673267327,6.169059405940594,-2.728712871287129,-5.261481763487801,-3.4147910589549073,-2.6237850875572017,2171.2772277227723,-0.6718965091646231,0.19306930693069307,88.85588235294118,4.9411764705882355,80
458677,"Wilson, Justin",48,FF,5.008692927,0.969330194,17.608296296296295,6.594074074074074,405,61,222,0.1506172839506173,0.33962264150943394,0.4528301886792453,95.47333333333333,6.40404938271605,1.3844938271604939,-5.088929553174424,2.0391686980570496,-2.9136583895127064,2213.8888888888887,-0.07440791385294758,0.2,87.83207547169812,18.67924528301887,74
458681,"Lynn, Lance",32,FF,12.42246509,0.738740595,13.043115264797507,4.059813084112149,963,141,491,0.14641744548286603,0.2896551724137931,0.43448275862068964,92.25981308411215,5.61742471443406,-3.113354101765317,-4.814428566911992,-3.777215612648626,-1.4692674136630928,2453.64308012487,1.0511855546790254,0.20145379023883697,91.62137931034482,22.06896551724138,77
471911,"Carrasco, Carlos",36,FF,15.14588383,0.750343193,10.645909090909091,3.3542727272727273,440,29,200,0.0659090909090909,0.42168674698795183,0.3253012048192771,91.60068181818181,5.950909090909091,-1.2288863636363636,-5.899361576712453,-1.6135456851862684,-2.070450061969639,2171.7909090909093,0.9756572603453109,0.13863636363636364,88.98072289156626,14.08433734939759,76
472610,"García, Luis",48,FF,5.200096428,0.817770654,14.208421052631579,5.812631578947368,57,5,28,0.08771929824561403,0.36363636363636365,0.18181818181818182,95.9719298245614,6.28,-2.3182456140350878,-4.921712002576021,-2.900349632270453,-2.178202392386795,2194.3859649122805,-5.350091042889222,0.24561403508771928,90.71818181818182,10.363636363636363,74
477132,"Kershaw, Clayton",57,FF,7.603993795,0.848308167,17.204745762711866,0.07389830508474576,177,6,77,0.03389830508474576,0.3235294117647059,0.2647058823529412,89.92711864406779,6.078531073446328,1.611412429378531,-5.244265876112577,1.7969280522332687,-2.343191843819167,2267.8418079096045,1.0393430021679397,0.21468926553672316,93.40294117647059,20.029411764705884,76
489446,"Yates, Kirby",22,FF,3.166463517,0.979382707,14.799101123595506,13.722953451043338,623,111,315,0.1781701444622793,0.36363636363636365,0.5151515151515151,93.15184590690208,5.280866773675762,-2.4496789727126806,-4.5598996721601175,-3.8405090103239883,-1.5722525673419456,2357.1781701444625,0.4291309762222768,0.18459069020866772,87.99848484848485,21.348484848484848,70
493603,"Ottavino, Adam",25,FF,7.810934867,0.806215193,14.31375,8.89625,96,16,45,0.16666666666666666,0.38461538461538464,0.38461538461538464,93.18125,5.490833333333334,-2.6745833333333335,-4.776767982642441,-3.9350052330144263,-1.7630156463227495,2368.2604166666665,-0.09459280464744432,0.15625,89.04,19.733333333333334,77
500779,"Quintana, Jose",45,FF,10.49331805,0.860497468,16.197165354330707,3.8579527559055116,635,48,290,0.07559055118110236,0.3404255319148936,0.48936170212765956,90.69275590551182,5.802929133858267,2.1896062992125986,-4.452528277443531,3.125341331035265,-1.4217011811814992,2074.4387917329095,-1.9867148675080863,0.2283464566929134,87.95094339622642,23.330188679245282,73
502043,"Gibson, Kyle",45,FF,9.877274812,0.859792718,15.978360655737706,4.460655737704918,366,7,107,0.01912568306010929,0.3548387096774194,0.45161290322580644,91.39480874316939,6.3478142076502735,-2.018333333333333,-5.56085237197097,-2.7294301527364135,-2.631350225632434,2232.2841530054643,1.4287037884633011,0.1448087431693989,93.4672131147541,20,78
502179,"Espino, Paolo",47,FF,4.715271538,0.908214375,18.133846153846154,4.59,52,1,21,0.019230769230769232,0.15384615384615385,0.5384615384615384,88.19423076923077,5.621538461538462,-0.9284615384615384,-4.821246800854559,-1.1730050390647677,-1.8068775860721016,2197.576923076923,1.9647117132912213,0.17307692307692307,96.13846153846154,24.76923076923077,70
502624,"Anderson, Chase",43,FF,0.813627394,0.921820389,15.56026490066225,7.501986754966887,151,16,72,0.10596026490066225,0.18181818181818182,0.45454545454545453,93.6092715231788,5.81682119205298,-1.3065562913907285,-4.4682989824842885,-1.8617717635026572,-1.726794555335555,2242.9205298013244,-1.6057991148895088,0.2582781456953642,95.62727272727273,24.363636363636363,73
506433,"Darvish, Yu",40,FF,4.923396061,0.8882051,16.74376569037657,7.3330543933054395,239,19,126,0.0794979079497908,0.4583333333333333,0.3958333333333333,94.03138075313808,5.636025104602511,-1.9148535564853557,-4.597702026700346,-2.834126406305622,-2.0519457827932297,2318.757322175732,0.33894529792225087,0.19665271966527198,94.59807692307692,17.653846153846153,77
