pitcher_name,pitcher,Pitches,Velocity,VAA,vMove_diff,Whiff_p,xWhiff_p,Zone_loc,xWhiff_rank,Whiff_diff
"Joyce, Ben",690829,247,102.09514170040485,-4.229518052079288,-0.9614254076849384,0.1700404858299595,0.15196133167476442,0.14979757085020243,1,0.018079154155195093
"Kopech, Michael",656629,896,98.72142857142858,-3.960340979089611,1.3988005117498616,0.16071428571428573,0.15149250653542085,0.23102678571428573,2,0.00922177917886488
"García, Yimi",554340,227,96.47929515418502,-3.6053746943373657,1.771365459285187,0.19383259911894274,0.15067656124136336,0.23348017621145375,3,0.04315603787757938
"Díaz, Edwin",621242,475,97.48673684210526,-3.6031497520219653,0.18747428012792078,0.15789473684210525,0.14930139380923896,0.21263157894736842,4,0.008593343032866296
"Miller, Mason",695243,646,100.87167182662539,-4.632067228261464,1.825445556084631,0.2089783281733746,0.14732741667401608,0.22136222910216719,5,0.06165091149935853
"Scott, Tanner",656945,689,97.0410740203193,-4.124499710571859,3.1573331156925413,0.15529753265602322,0.14631203536267506,0.16690856313497823,6,0.00898549729334816
"Otañez, Michel",671305,247,97.95344129554655,-4.187102816275255,2.0760705235464947,0.1902834008097166,0.14490685314868865,0.2145748987854251,7,0.045376547661027944
"Díaz, Alexis",664747,566,93.92279151943463,-3.408062588059625,1.9222849675062879,0.0989399293286219,0.1435739585877417,0.254416961130742,8,-0.04463402925911979
"Henriquez, Ronny",678692,89,95.66629213483147,-3.774863448131435,1.9470227273509728,0.06741573033707865,0.14325351608471487,0.21348314606741572,9,-0.07583778574763622
"Palencia, Daniel",694037,149,98.18590604026846,-4.035482717181872,0.33130459920987576,0.10738255033557047,0.1427378754612842,0.2550335570469799,10,-0.035355325125713724
"Cleavinger, Garrett",664076,262,96.41183206106871,-3.9797027866665275,1.8683403327982315,0.11068702290076336,0.14158431982773265,0.21374045801526717,11,-0.030897296926969284
"deGrom, Jacob",594798,79,97.32278481012658,-4.283306631297025,2.540206174753271,0.12658227848101267,0.1413293185011229,0.24050632911392406,12,-0.014747040020110236
"Muñoz, Andrés",662253,306,98.44705882352942,-3.9973832015001625,-0.6915933809470403,0.10457516339869281,0.1408367322884102,0.20588235294117646,13,-0.03626156888971739
"Jax, Griffin",643377,319,97.10219435736677,-4.00614200510042,0.7568172472175334,0.16300940438871472,0.13985320913335292,0.2884012539184953,14,0.023156195255361806
"Rodríguez, Randy",678495,416,97.64134615384616,-4.274081479243464,1.5993347095140393,0.11778846153846154,0.13933352472550148,0.1778846153846154,15,-0.021545063187039942
"Kimbrel, Craig",518886,633,93.85434439178515,-3.5704934900200977,1.8506428882309116,0.1358609794628752,0.13897929257676028,0.25434439178515006,16,-0.0031183131138850795
"Montero, Rafael",606160,313,95.38785942492012,-3.738121474705946,0.8145370788485646,0.10543130990415335,0.13823324104468332,0.22364217252396165,17,-0.03280193114052997
"Thornton, Trent",663423,224,95.54776785714286,-4.053827421689465,2.5343992541774405,0.15178571428571427,0.1382141855413861,0.25,18,0.013571528744328182
"Ort, Kaleb",672391,203,97.52266009852217,-4.399566705271744,2.18879220695084,0.1330049261083744,0.13805395485218513,0.20689655172413793,19,-0.005049028743810746
"Jones, Jared",683003,942,97.33259023354564,-4.1245021168933995,0.6652971205538449,0.13588110403397027,0.13772111640090343,0.23991507430997877,20,-0.0018400123669331525
"Pearson, Nate",663878,487,97.670636550308,-4.168191210664846,0.463411118536591,0.10472279260780287,0.13749854491586544,0.2032854209445585,21,-0.03277575230806257
"Woo, Bryan",693433,840,94.83654761904762,-3.7878438165936017,1.4865087108535135,0.16071428571428573,0.13701672304521137,0.26904761904761904,22,0.023697562669074357
"Bednar, David",670280,568,97.23204225352113,-4.321916516659772,1.8092426845527072,0.13556338028169015,0.13700146652886602,0.2658450704225352,23,-0.0014380862471758682
"Montgomery, Mason",682254,115,97.2791304347826,-4.140240029613243,0.5995185601088018,0.21739130434782608,0.13680979281658395,0.28695652173913044,24,0.08058151153124213
"Gil, Luis",661563,1299,96.58221709006928,-4.373176770692036,2.7836310142284724,0.13163972286374134,0.1364803511990591,0.20708237105465743,25,-0.004840628335317759
"Williams, Devin",642207,209,94.7177033492823,-3.982345519348183,2.337798539646357,0.15311004784688995,0.13510186979335062,0.2583732057416268,26,0.018008178053539325
"Núñez, Dedniel",673380,248,96.3233870967742,-4.278428579132134,2.0849674705263617,0.14919354838709678,0.1347186091876939,0.24193548387096775,27,0.014474939199402875
"Domínguez, Seranthony",622554,430,97.66325581395348,-4.441854953905553,1.4206100629949638,0.09767441860465116,0.1346206595764793,0.18604651162790697,28,-0.03694624097182815
"Bello, Brayan",678394,129,95.63488372093023,-3.7093036136275446,-0.7159863244557378,0.09302325581395349,0.13399485122063742,0.23255813953488372,29,-0.040971595406683936
"Adam, Jason",592094,415,95.48120481927711,-4.436215003988616,3.83918816882502,0.13975903614457832,0.13378571790973204,0.2385542168674699,30,0.0059733182348462865
"Bigge, Hunter",685801,177,97.49604519774012,-4.411974370785109,1.0620318468265886,0.13559322033898305,0.1330896434029727,0.192090395480226,31,0.00250357693601036
"García, Deivi",665620,158,95.05253164556962,-3.967614844196604,1.245821417802258,0.16455696202531644,0.13271285352807816,0.17088607594936708,32,0.03184410849723829
"Walters, Andrew",689958,83,95.86144578313252,-4.331260468107642,2.4672155356824756,0.18072289156626506,0.13269928324493976,0.25301204819277107,33,0.048023608321325295
"Stewart, Brock",592779,121,96.97520661157024,-4.372514957618625,1.349860693004869,0.15702479338842976,0.1326582326663514,0.2727272727272727,34,0.02436656072207835
"Greene, Hunter",668881,1416,97.60819209039548,-4.574436505523139,1.7941088270075376,0.13559322033898305,0.13261117927795996,0.23163841807909605,35,0.002982041061023094
"Leiter, Jack",683004,347,96.3956772334294,-4.12290074752845,0.520418252203779,0.1585014409221902,0.13258453002226833,0.2507204610951009,36,0.025916910899921874
"Kelly, Joe",523260,136,98.06764705882352,-4.196728342800131,-1.0845327025228677,0.08088235294117647,0.13252322469084887,0.21323529411764705,37,-0.0516408717496724
"Smith, Drew",622098,143,94.73286713286713,-4.076589834426794,2.2369866470709088,0.13986013986013987,0.13246681707951924,0.2517482517482518,38,0.007393322780620631
"Phillips, Evan",623465,335,96.2134328358209,-4.275654097828425,1.60765562830799,0.16417910447761194,0.13232820665629136,0.23880597014925373,39,0.031850897821320584
"Hernández, Carlos",672578,303,97.87887788778878,-4.53644128717736,1.157817819254852,0.08250825082508251,0.1323086967678107,0.2376237623762376,40,-0.0498004459427282
"Wheeler, Zack",554430,1297,95.26869699306091,-4.084661864784162,1.5800592018724213,0.15497301464919044,0.13225499138187946,0.26137239784117194,41,0.022718023267310983
