Rk.,Team,Venue,Year,Park Factor,wOBACon,BACON,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Rockies,Coors Field,2022-2024,112,111,111,125,110,116,115,118,198,109,99,89,56537
2,Red Sox,Fenway Park,2022-2024,107,107,108,114,106,109,107,123,118,98,96,97,57350
3,Reds,Great American Ball Park,2022-2024,105,106,103,110,103,102,98,100,79,128,105,102,56113
4,Royals,Kauffman Stadium,2022-2024,104,100,102,108,105,106,107,114,168,85,102,87,56788
5,Twins,Target Field,2022-2024,102,104,103,104,102,101,98,107,90,105,105,105,56874
6,Pirates,PNC Park,2022-2024,101,99,101,102,103,102,104,110,80,84,102,95,56717
7,D-backs,Chase Field,2022-2024,101,100,101,102,102,104,104,113,168,86,99,94,57491
8,Nationals,Nationals Park,2022-2024,101,98,99,102,101,102,105,98,85,101,96,89,55170
9,Marlins,loanDepot park,2022-2024,101,102,102,102,102,103,104,109,117,92,96,100,56832
10,Rangers,Globe Life Field,2022-2024,101,101,99,102,100,100,98,96,90,115,103,100,57150
11,Phillies,Citizens Bank Park,2022-2024,101,103,101,102,99,100,98,98,107,115,96,102,59030
12,Braves,Truist Park,2022-2024,100,104,104,100,100,102,103,95,87,105,98,109,56162
13,Angels,Angel Stadium,2022-2024,100,102,100,100,100,98,98,90,102,112,103,106,55854
14,Cardinals,Busch Stadium,2022-2024,100,97,99,100,101,102,105,102,95,91,99,90,55932
15,Blue Jays,Rogers Centre,2022-2024,100,100,99,100,100,101,98,109,70,103,97,98,56362
16,Dodgers,Dodger Stadium,2022-2024,100,100,97,100,97,97,92,97,74,122,98,101,59029
17,Yankees,Yankee Stadium,2022-2024,100,100,97,100,99,94,91,91,51,119,110,103,59223
18,Astros,Minute Maid Park,2022-2024,100,101,100,100,100,100,99,98,88,107,102,101,57080
19,White Sox,Guaranteed Rate Field,2022-2024,99,99,100,98,100,100,103,94,62,98,101,100,57822
20,Orioles,Oriole Park at Camden Yards,2022-2024,99,99,101,98,100,103,108,94,109,93,93,96,55857
21,Tigers,Comerica Park,2022-2024,98,96,98,96,99,98,102,92,146,86,98,97,55344
22,Mets,Citi Field,2022-2024,97,96,96,94,98,92,93,86,72,99,110,104,58441
23,Giants,Oracle Park,2022-2024,97,97,99,94,98,100,103,104,125,78,92,99,55227
24,Cubs,Wrigley Field,2022-2024,97,98,98,94,98,98,101,89,131,93,102,103,55217
25,Athletics,Oakland Coliseum,2022-2024,97,95,97,94,99,97,97,107,104,81,102,98,55403
26,Guardians,Progressive Field,2022-2024,97,96,98,94,98,99,99,107,69,86,97,98,56438
27,Brewers,American Family Field,2022-2024,97,100,97,94,96,94,91,87,93,114,106,112,57190
28,Padres,Petco Park,2022-2024,96,96,96,92,97,96,97,90,55,104,99,102,58146
29,Rays,Tropicana Field,2022-2024,96,98,98,92,96,96,94,96,114,98,95,108,55802
30,Mariners,T-Mobile Park,2022-2024,91,94,94,83,92,90,91,85,59,96,95,115,55886
