"","pitcher_name","pitcher","Pitches","Pitch_p","Velocity","VAA","vMove_diff","Zone_loc","Whiff_p","xWhiff_p","ball_angle","xWhiff_rank","xWhiff_pct","Whiff_diff"
"558","Miller, Mason",695243,646,0.630859375,100.871671826625,-4.63206722826146,1.49755812747014,0.805201238390093,0.208978328173375,0.155851636438409,35.0331269349845,1,0.998251748251748,0.0531266917349659
"393","Uceta, Edwin",670955,270,0.401785714285714,94.1792592592593,-3.51111934778141,3.23642566451801,0.625148148148148,0.177777777777778,0.155429804745756,15.0140740740741,2,0.996503496503496,0.0223479730320219
"48","García, Yimi",554340,227,0.366720516962843,96.479295154185,-3.60537469433737,1.38162886287806,0.646960352422908,0.193832599118943,0.154748676603729,26.6136563876652,3,0.994755244755245,0.0390839225152139
"242","Kopech, Michael",656629,896,0.783902012248469,98.7214285714286,-3.96034097908961,1.35105684029649,0.751651785714286,0.160714285714286,0.154168319017572,45.1431919642857,4,0.993006993006993,0.00654596669671412
"153","Díaz, Edwin",621242,475,0.520833333333333,97.4867368421053,-3.60314975202197,2.08138766575938,0.7652,0.157894736842105,0.153583436808684,17.7328421052632,5,0.991258741258741,0.00431130003342148
"208","Williams, Devin",642207,209,0.534526854219949,94.7177033492823,-3.98234551934818,2.23842216930463,0.613971291866029,0.15311004784689,0.148887958870089,28.5363636363636,6,0.989510489510489,0.00422208897680104
"312","Díaz, Alexis",664747,566,0.579324462640737,93.9227915194346,-3.40806258805963,2.52616073117546,0.648286219081272,0.0989399293286219,0.14841203517962,8.57049469964664,7,0.987762237762238,-0.0494721058509986
"273","Duran, Jhoan",661395,359,0.407491486946652,100.461002785515,-4.64620719470306,-2.31824166670492,0.649944289693593,0.181058495821727,0.145099918314242,33.7891364902507,8,0.986013986013986,0.0359585775074854
"67","Adam, Jason",592094,415,0.374211000901713,95.4812048192771,-4.43621500398862,3.038091901691,0.704746987951807,0.139759036144578,0.144929036584386,37.464578313253,9,0.984265734265734,-0.00517000043980728
"426","Snider, Collin",676092,278,0.411242603550296,94.1528776978417,-4.26736261464015,1.40089693515032,0.538129496402878,0.165467625899281,0.144898054337616,18.3460431654676,10,0.982517482517482,0.0205695715616646
"344","Greene, Hunter",668881,1416,0.552477565353102,97.6081920903955,-4.57443650552314,1.93747160204915,0.759364406779661,0.135593220338983,0.144191049189389,32.9802259887006,11,0.980769230769231,-0.00859782885040614
"545","Guerrero, Luis",692285,62,0.466165413533835,97.5258064516129,-4.56302270099393,1.31798527264906,0.719354838709677,0.17741935483871,0.143917992003883,35.5435483870968,12,0.979020979020979,0.033501362834827
"400","Otañez, Michel",671305,247,0.410981697171381,97.9534412955466,-4.18710281627525,2.3640492782602,0.851578947368421,0.190283400809717,0.143841919065629,30.3210526315789,13,0.977272727272727,0.046441481744088
"85","deGrom, Jacob",594798,79,0.459302325581395,97.3227848101266,-4.28330663129702,2.78526050741086,0.834303797468354,0.126582278481013,0.143356022292953,32.1278481012658,14,0.975524475524476,-0.0167737438119408
"219","Jax, Griffin",643377,319,0.298689138576779,97.1021943573668,-4.00614200510042,0.536842996924019,0.711191222570533,0.163009404388715,0.143077632327458,46.0203761755486,15,0.973776223776224,0.019931772061257
"388","Bednar, David",670280,568,0.555229716520039,97.2320422535211,-4.32191651665977,1.71658734357265,0.762482394366197,0.13556338028169,0.14287102197931,42.9832746478873,16,0.972027972027972,-0.00730764169761977
"163","Castillo, Luis",622491,1296,0.453305351521511,95.5591049382716,-4.05611667002883,0.802101439140618,0.631373456790123,0.141203703703704,0.142737538317214,17.2280742459397,17,0.97027972027972,-0.0015338346135105
"497","Montgomery, Mason",682254,115,0.727848101265823,97.2791304347826,-4.14024002961324,0.858136861134589,0.735739130434783,0.217391304347826,0.142354614676005,53.8913043478261,18,0.968531468531469,0.0750366896718214
"409","Hernández, Carlos",672578,303,0.541071428571429,97.8788778877888,-4.53644128717736,1.64905732773523,0.786699669966997,0.0825082508250825,0.141793083962933,36.2689768976898,19,0.966783216783217,-0.0592848331378503
"406","Ort, Kaleb",672391,203,0.554644808743169,97.5226600985222,-4.39956670527174,2.24353698420624,0.817487684729064,0.133004926108374,0.141702068764488,44.9320197044335,20,0.965034965034965,-0.00869714265611354
"276","Muñoz, Andrés",662253,306,0.321766561514196,98.4470588235294,-3.99738320150016,-0.277884915098799,0.762745098039216,0.104575163398693,0.141219792027375,28.2437908496732,21,0.963286713286713,-0.0366446286286817
"363","Baz, Shane",669358,578,0.479270315091211,95.6441176470588,-4.34954192374621,1.99154970977014,0.702595155709343,0.110726643598616,0.140628337975453,37.804152249135,22,0.961538461538462,-0.0299016943768367
"169","Sewald, Paul",623149,376,0.597774244833068,91.3561170212766,-3.37101740890834,1.9117872295692,0.539228723404255,0.138297872340426,0.14037101722133,14.4507978723404,23,0.95979020979021,-0.00207314488090424
"541","Joyce, Ben",690829,247,0.456561922365989,102.095141700405,-4.22951805207929,-0.15286332586097,0.980323886639676,0.17004048582996,0.140267000034304,27.7582995951417,24,0.958041958041958,0.0297734857956554
"549","Palencia, Daniel",694037,149,0.566539923954373,98.1859060402685,-4.03548271718187,0.774110465823705,0.820671140939597,0.10738255033557,0.14008489240297,37.0463087248322,25,0.956293706293706,-0.0327023420673993
"466","Rodriguez, Grayson",680570,874,0.465141032464077,96.0764302059497,-4.20228688484413,0.351088203093813,0.648627002288329,0.135011441647597,0.139927662731627,38.1852873563218,26,0.954545454545455,-0.00491622108403011
"258","Webb, Jacob",657097,413,0.442184154175589,93.4755447941889,-4.04125923198176,1.89406347058064,0.605883777239709,0.13317191283293,0.139627245739604,32.064406779661,27,0.952797202797203,-0.00645533290667405
"118","Montero, Rafael",606160,313,0.458272327964861,95.3878594249201,-3.73812147470595,0.632579807269687,0.67591054313099,0.105431309904153,0.139610350674581,34.7266025641026,28,0.951048951048951,-0.034179040770428
"379","Kirby, George",669923,1007,0.339400067408156,96.0086395233366,-4.34329006609671,0.324183978579297,0.634657398212512,0.176762661370407,0.139286823364041,37.1197616683218,29,0.949300699300699,0.0374758380063657
"401","Foley, Jason",671345,74,0.081767955801105,97.2256756756757,-4.21652772601849,-1.53879298657553,0.606081081081081,0.216216216216216,0.139229639721977,31.2310810810811,30,0.947552447552447,0.0769865764942387
"345","Williams, Gavin",668909,704,0.514619883040936,96.6225852272727,-4.486774751643,0.469372981656328,0.673011363636364,0.120738636363636,0.13865832428706,34.5673789173789,31,0.945804195804196,-0.0179196879234237
"361","Reynolds, Sean",669308,110,0.488888888888889,96.8754545454545,-4.93242325316198,1.15337453445733,0.685454545454545,0.154545454545455,0.138608077901542,44.1672727272727,32,0.944055944055944,0.015937376643913
"160","Smith, Drew",622098,143,0.435975609756098,94.7328671328671,-4.07658983442679,1.81629557887438,0.694475524475525,0.13986013986014,0.137705272460416,40.4742857142857,33,0.942307692307692,0.00215486739972348
"281","Thornton, Trent",663423,228,0.20017559262511,95.5070175438596,-4.06384228427565,1.67904339212553,0.735614035087719,0.149122807017544,0.137620655220485,42.290350877193,34,0.940559440559441,0.0115021517970591
"49","Wheeler, Zack",554430,1299,0.414486279514997,95.26805234796,-4.08442398989551,1.22795181407363,0.694688221709007,0.15473441108545,0.137207030264951,25.1264819091609,35,0.938811188811189,0.0175273808204989
"277","Suarez, Robert",663158,698,0.714431934493347,99.0776504297994,-4.74716658081625,1.00558262522047,0.847234957020057,0.150429799426934,0.137027954963551,46.0836017569546,36,0.937062937062937,0.0134018444633836
"538","Walters, Andrew",689958,83,0.628787878787879,95.8614457831325,-4.33126046810764,2.18070460830821,0.767228915662651,0.180722891566265,0.13701625441676,37.4566265060241,37,0.935314685314685,0.0437066371495048
"547","Woo, Bryan",693433,840,0.48951048951049,94.8365476190476,-3.7878438165936,1.756265906625,0.738452380952381,0.160714285714286,0.136629415150848,26.5526817640048,38,0.933566433566434,0.0240848705634378
