Player,Ft.,In.,PlayerID
Sean Hjelle,6,11,hjellse01
Bailey Ober,6,9,oberba01
Tyler Glasnow,6,8,glasnty01
Bryan Hudson,6,8,hudsobr01
Evan Kravetz,6,8,kraveev01
Luke Little,6,8,littllu01
Chris Martin,6,8,martich02
Trevor Megill,6,8,megiltr01
Jack Neely,6,8,neelyja01
Sean Reynolds,6,8,reynose01
Chris Roycroft,6,8,roycrch01
Jackson Rutledge,6,8,rutleja01
Tyler Wells,6,8,wellsty01
Joe Boyle,6,7,boylejo01
Miguel Castro,6,7,castrmi01
Steven Cruz,6,7,cruzst01
Gavin Hollowell,6,7,holloga01
Jack Kochanowicz,6,7,kochaja01
James McArthur,6,7,mcartja01
Tylor Megill,6,7,megilty01
Kyle Muller,6,7,mulleky01
Michael Petersen,6,7,petermi01
A.J. Puk,6,7,pukaj01
Orlando Ribalta,6,7,ribalor01
Michael Tonkin,6,7,tonkimi01
Forrest Whitley,6,7,whitlfo01
Trey Wingenter,6,7,wingetr01
Shaun Anderson,6,6,andersh01
Bryan Baker,6,6,bakerbr01
Scott Blewett,6,6,blewesc01
Jonathan Bowlan,6,6,bowlajo01
Connor Brogdon,6,6,brogdco01
Ben Brown,6,6,brownbe02
Sean Burke,6,6,burkese01
Ky Bush,6,6,bushky01
Jonathan Cannon,6,6,cannojo02
Cooper Criswell,6,6,criswco01
Garrett Crochet,6,6,crochga01
Zach Eflin,6,6,eflinza01
Carlos Estévez,6,6,estevca01
Pete Fairbanks,6,6,fairbpe01
David Festa,6,6,festada01
Hunter Gaddis,6,6,gaddihu01
Kyle Gibson,6,6,gibsoky01
Logan Gilbert,6,6,gilbelo01
Brent Headrick,6,6,headrbr01
David Hensley,6,6,henslda01
Sam Hentges,6,6,hentgsa01
Tim Herrin,6,6,herriti01
Bryan Hoeing,6,6,hoeinbr01
Grant Holman,6,6,holmagr01
Brant Hurter,6,6,hurtebr01
Jake Irvin,6,6,irvinja01
Nick Lodolo,6,6,lodolni01
Daniel Lynch IV,6,6,lynchda02
Matt Manning,6,6,mannima02
Alek Manoah,6,6,manoaal01
Jordan Montgomery,6,6,montgjo01
Tommy Nance,6,6,nanceto01
Nate Pearson,6,6,pearsna01
David Peterson,6,6,peterda01
Nick Robertson,6,6,roberni01
Chris Sale,6,6,salech01
Paul Skenes,6,6,skenepa01
Michael Wacha,6,6,wachami01
Jacob Waguespack,6,6,wagueja01
Josh Walker,6,6,walkejo03
Gavin Williams,6,6,williga01
Brandon Williamson,6,6,willibr02
Yency Almonte,6,5,almonye01
Chris Bassitt,6,5,bassich01
Spencer Bivens,6,5,bivensp01
Raymond Burgos,6,5,burgora01
Edward Cabrera,6,5,cabreed02
Dylan Coleman,6,5,colemdy01
John Curtiss,6,5,curtijo02
Yu Darvish,6,5,darviyu01
Jhoan Durán,6,5,duranjh01
Alex Faedo,6,5,faedoal01
Bowden Francis,6,5,francbo01
Amir Garrett,6,5,garream01
Austin Gomber,6,5,gombeau01
Tanner Gordon,6,5,gordota01
Hunter Greene,6,5,greenhu01
Brenan Hanifee,6,5,hanifbr01
Geoff Hartlieb,6,5,hartlge01
Grant Hartwig,6,5,hartwgr01
Rich Hill,6,5,hillri01
Jeff Hoffman,6,5,hoffmje02
Clay Holmes,6,5,holmecl01
Tanner Houck,6,5,houckta01
Dakota Hudson,6,5,hudsoda02
Kenley Jansen,6,5,janseke01
Ben Joyce,6,5,joycebe01
Brad Keller,6,5,kellebr01
Will Klein,6,5,kleinwi01
Adam Kloffenstein,6,5,kloffad01
Jared Koenig,6,5,koenija01
Joel Kuhnel,6,5,kuhnejo01
Joe La Sorsa,6,5,lasorjo01
Kyle Leahy,6,5,leahyky01
Ryan Loutos,6,5,loutory01
Joey Lucchesi,6,5,lucchjo01
Jordan Lyles,6,5,lylesjo01
Lance Lynn,6,5,lynnla01
Sean Manaea,6,5,manaese01
Zebby Matthews,6,5,matthze01
Triston McKenzie,6,5,mckentr01
Tyson Miller,6,5,millety01
