"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
669952,"White, Mitch",2024,"R",413,158,41,-1.7235044282308152,6.002529525367634,0.04459466125433225,4.467224838687399
680704,"Sandlin, Nick",2024,"R",1003,114,12,-2.4905150360234143,4.490090014645832,-0.4727489445211606,4.068595092085597
642048,"Saucedo, Tayler",2024,"L",626,136,22,2.5858257857127933,5.2670927957161435,0.3115446763253664,4.352500999897487
579328,"Kikuchi, Yusei",2024,"L",2923,117,42,1.6505279990389496,5.4267733232588835,0.04728330729362003,3.990787510176526
656641,"Latz, Jacob",2024,"L",813,140,51,1.16457391456112,5.936046782091346,-0.2733281209095511,4.187472351691431
681217,"Silseth, Chase",2024,"R",167,108,33,-2.018554236886942,5.895949747496779,-0.11420434958959086,4.636639085465432
641793,"Littell, Zack",2024,"R",2467,139,42,-1.9370185211283912,6.1458925887386355,-0.2355123966843619,4.638212079882249
663554,"Mize, Casey",2024,"R",1788,116,43,-1.6622942337749904,5.647905894440909,-0.07558678324899205,4.15271992008518
668674,"Erceg, Lucas",2024,"R",979,118,42,-1.6032738366812793,6.017103941900592,0.11445648639249542,4.444287907920152
685314,"Saalfrank, Andrew",2024,"L",26,109,48,1.515122054867133,6.246068503951792,-0.07172519539284243,4.465498035787742
687362,"Gillispie, Connor",2024,"R",138,114,39,-2.157761375592867,5.356551985263951,-0.3774969503216306,3.938687333049162
573186,"Stroman, Marcus",2024,"R",2580,147,33,-1.9203263742824364,5.226214485023463,-0.18848170974450365,4.121374270440386
682243,"Miller, Bryce",2024,"R",2749,136,43,-1.5842593208678202,5.567888833810526,0.16610178314720161,3.931086294092358
668676,"Plesac, Zach",2024,"R",208,108,57,-0.9771572816824432,6.310690818880463,0.2998375428493077,4.370700422922665
673540,"Senga, Kodai",2024,"R",73,121,44,-1.5184399176089034,5.849660162068878,0.07896524918809365,4.289396409298463
641540,"Dunning, Dane",2024,"R",1689,140,38,-1.8942707644314132,5.411309623700828,-0.06612274384214092,3.968746011414954
668933,"Ashcraft, Graham",2024,"R",1342,113,49,-1.45409179949284,6.296629317248523,0.11187623462201571,4.494224667601764
607237,"Garrett, Amir",2024,"L",104,108,40,1.9078603595280066,6.028820073755886,0.05426324986288224,4.47863501474016
624133,"Suárez, Ranger",2024,"L",2265,143,42,1.707449881454382,5.845603730525515,0.0005085696072528977,4.319290149803447
668678,"Gallen, Zac",2024,"R",2506,109,41,-1.4924126025437465,5.859176130465737,0.10813196257680341,4.4569338968294225
543238,"Gose, Anthony",2024,"L",79,114,48,1.3420677309776086,5.688458745111441,-0.11159122159796026,4.081074026941041
676614,"Sammons, Bryan",2024,"L",374,116,34,2.1722877148516346,5.53029956482981,0.1930565388868235,4.200147065019494
692230,"Rodriguez, Carlos",2024,"R",233,158,34,-1.94125079375672,5.676508382869529,-0.15029820293314355,4.447346980789974
663559,"Falter, Bailey",2024,"L",2138,134,56,0.8690682135897617,5.781541740669214,-0.3274092321442565,4.007623373336066
605447,"Romano, Jordan",2024,"R",215,141,50,-1.3328193281890521,6.060119642825921,0.1721622169713552,4.2486444198482785
808967,"Yamamoto, Yoshinobu",2024,"R",1421,119,46,-1.3542937233715435,5.515601363787921,0.035992423552493075,4.0745295180141
624647,"González, Victor",2024,"L",386,147,25,2.5163413937134886,4.941759146084367,0.31704363068354996,3.9211206838269934
630023,"Chirinos, Yonny",2024,"R",515,146,45,-1.5625910969429182,6.636014857556676,0.15782995950366024,4.932302019798209
622088,"Antone, Tejay",2024,"R",47,113,30,-2.462267280219024,5.859553116001128,-0.37343939583570374,4.650820006068191
689672,"Thorpe, Drew",2024,"R",721,145,52,-1.2325196254033455,6.12314311881733,0.2206526075390439,4.27330247700139
570632,"Ureña, José",2024,"R",1759,140,31,-2.228274243985928,5.668725980447127,-0.19093867124916009,4.428450890556235
571656,"Farmer, Buck",2024,"R",1169,113,30,-1.936669596962548,5.693239562587456,0.1290463335361362,4.512381790124868
676105,"Criswell, Jeff",2024,"R",354,115,33,-1.9432645980043286,5.429700843163672,0.15274498096619232,4.055453201254822
676617,"O'Brien, Riley",2024,"R",194,138,31,-2.1498550008482606,5.5334487551724285,-0.1497461014021353,4.316926375489278
663562,"Davis, Noah",2024,"R",365,115,32,-2.047670875014831,5.839966176094266,-0.15847351060972328,4.674537115718018
669194,"Nelson, Ryne",2024,"R",2406,109,48,-1.3013737489520318,6.072229599637436,0.2076048779566233,4.4188250699750835
676106,"Hancock, Emerson",2024,"R",1013,136,27,-2.099057783313882,5.568635955541922,-0.06295074512619372,4.511082102190242
643338,"Green, Chad",2024,"R",840,141,45,-1.6124984857835314,6.0932990487324235,0.06477915096341563,4.43371750838214
670219,"Kristofak, Zac",2024,"R",39,108,41,-1.46874878729432,5.287122267801889,0.03425494995200876,3.9959251999634353
543243,"Gray, Sonny",2024,"R",2483,138,49,-1.1868205827071767,5.513434873361763,0.2031972078942514,3.9224087957110134
664076,"Cleavinger, Garrett",2024,"L",1040,139,35,2.093840354210483,5.287303961909779,0.2420073922768408,3.9919834434560557
605452,"Ross, Joe",2024,"R",1210,158,35,-1.999955676551011,5.6878781077107154,-0.14541252522797252,4.403568998320591
668941,"Romero, JoJo",2024,"L",919,138,32,1.992623534844513,5.421833475105261,0.07813011798843586,4.227675486025852
598286,"Ramirez, Nick",2024,"L",194,119,29,2.3787122360663733,5.734853222404233,0.4049209392285497,4.633594156697354
670990,"Ramírez, Yohan",2024,"R",768,111,26,-2.4055927729857536,5.168813085582382,-0.4492123441445707,4.199304927723939
672782,"Gómez, Yoendrys",2024,"R",214,147,42,-1.6687226195525882,5.505713385635533,0.10579252836223701,3.92758163368151
682254,"Montgomery, Mason",2024,"L",158,139,53,1.1997040371765983,5.797241077521031,-0.13789190471355403,4.0451183177643895
593423,"Montas, Frankie",2024,"R",2692,158,43,-1.6668850071881343,5.939988328354198,0.03387694181346726,4.369489168474362
663567,"Lambert, Peter",2024,"R",1039,115,54,-1.1604147387975745,6.097838635815436,0.18678143997296176,4.264264220361344
664079,"Jay, Tyler",2024,"L",153,158,35,2.062595155968623,5.453313771833847,0.32296633171390954,4.238048894947165
665871,"Assad, Javier",2024,"R",2538,112,55,-1.0466034696142876,6.000083711460117,0.2229743061262042,4.20082770512102
668943,"Miller, Ryan",2024,"R",219,108,33,-2.0621631372058475,4.756562619309304,-0.12059257197274925,3.5052276866163643
669199,"Bachar, Lake",2024,"R",161,146,34,-2.013718827445503,5.609058186172617,-0.0604863697257559,4.267661583131277
669711,"Weissert, Greg",2024,"R",1028,111,16,-2.770719985955186,4.826787582857248,-0.5399130020738397,4.201374541015561
676879,"Ashby, Aaron",2024,"L",501,158,48,1.3085389798254323,6.504472049306397,-0.3556424777895189,4.681122181483733
663568,"Kolek, Stephen",2024,"R",784,135,35,-2.1046486322493494,5.373282319188269,-0.1384149180126596,3.9866161765842705
669456,"Bieber, Shane",2024,"R",166,114,42,-1.51225074066065,5.732712131292909,0.04536308549706849,4.318646917616991
622608,"Senzatela, Antonio",2024,"R",218,115,46,-1.7766216976135656,6.1635789606623925,-0.150741682202489,4.462466797494644
655889,"Rodríguez, Manuel",2024,"R",605,139,47,-1.5535368844746882,5.540382339388066,-0.008615722809033444,3.8976714081996424
656657,"Logue, Zach",2024,"L",43,119,21,2.4069745214515197,5.085799186662351,0.38586220826597023,4.293177660324171
664849,"Young, Danny",2024,"L",674,121,16,2.7006227156292018,5.143021170070665,0.39984872882252437,4.481758223313604
666129,"Garrett, Braxton",2024,"L",588,146,42,1.6996680543697098,5.817923522177701,-0.0025360830695914708,4.261065096038415
669713,"Wesneski, Hayden",2024,"R",1075,112,50,-1.5217672216403857,5.933275319695783,0.012400272768726926,4.127370946233882
687377,"Ribalta, Orlando",2024,"R",97,120,45,-1.789104392903951,6.627699373254598,-0.038827745006156156,4.904282804086957
615698,"Quantrill, Cal",2024,"R",2545,115,46,-1.5459790767581145,6.315315263226131,0.15818215045403783,4.568522694458743
622098,"Smith, Drew",2024,"R",318,121,41,-1.827848750733394,5.670377956077941,-0.14747309835312059,4.199654095337394
642834,"Bermudez, Jonathan",2024,"L",121,146,31,2.040786110486701,5.19766917555125,0.1914719251336898,4.108029956836227
669203,"Burnes, Corbin",2024,"R",3079,110,44,-1.5796195487289795,5.969420347553089,0.0663127381219103,4.398806258079726
669459,"Nelson, Kyle",2024,"L",145,109,42,1.384580962390507,5.806254327340742,-0.11825501444464932,4.431873702747556
665620,"García, Deivi",2024,"R",283,145,39,-1.8824403749381504,5.441458589733875,-0.20792684662043423,4.073718824600189
573204,"Thielbar, Caleb",2024,"L",887,142,54,0.9531353400729972,6.058851788319622,-0.3799081603554613,4.207973807743857
661269,"Gutierrez, Vladimir",2024,"R",80,146,42,-1.6744778669148965,5.216961665771589,0.11640258021390373,3.625465575980392
669461,"Liberatore, Matthew",2024,"L",1356,138,45,1.6033319899029148,6.4416003078244755,-0.0355255660456728,4.7895246884514036
686613,"Brown, Hunter",2024,"R",2988,117,57,-0.9734682019217971,6.256549467636415,0.21438892423526532,4.399001700175626
694037,"Palencia, Daniel",2024,"R",263,112,36,-1.6489423508530932,5.452690978763673,0.08836718414292782,4.172094695105831
592662,"Ray, Robbie",2024,"L",568,137,47,1.5771649784656765,6.271804215108494,0.012787305114107111,4.601601520486555
663574,"Santillan, Tony",2024,"R",504,113,28,-2.0294604515372217,5.467865207132004,-0.007759015399088933,4.394735078551623
664854,"Helsley, Ryan",2024,"R",908,138,60,-1.0310966071779895,6.116413275979993,0.16494794665363147,4.0782871585117855
665622,"Medina, Luis",2024,"R",720,133,42,-1.8429352889123287,6.226391599574931,-0.06424833556149737,4.611155994503866
543766,"Shaw, Bryan",2024,"R",95,145,40,-1.9882462964147225,6.039920940934627,-0.3090840050661415,4.631013784595178
571670,"Floro, Dylan",2024,"R",1018,109,37,-2.150030752746695,6.024128125682644,-0.36273365368115457,4.656118883273972
641302,"Alexander, Tyler",2024,"L",1668,139,36,2.0843995684801273,5.638394147046142,0.18970622325668884,4.268755165439844
661527,"Martinez, Seth",2024,"R",827,117,13,-2.526363830738621,4.4779923745972345,-0.4135210170558278,3.9934441603243482
605463,"Scott, Tayler",2024,"R",1178,117,13,-2.783731494946468,4.776571064269889,-0.5824923124937577,4.2594931135735665
622103,"Reyes Jr., Gerardo",2024,"R",79,133,23,-2.056851719302139,5.565764299572363,-0.09806846499244114,4.719741052370313
571927,"Matz, Steven",2024,"L",754,138,36,1.9461015600636138,5.697170792354089,0.06281349215355303,4.310084867634053
674072,"Henry, Tommy",2024,"L",706,109,43,1.7343022364358336,5.773030532939373,-0.05249212845838827,4.130223279453427
641816,"Mahle, Tyler",2024,"R",229,140,43,-1.9094808579801612,5.524804448138241,-0.30888312861468525,4.031678136359747
660761,"Suarez, José",2024,"L",987,108,40,1.8095025449487572,5.597682817574461,0.16150701517228422,4.201810220477618
663321,"Hernandez, Nick",2024,"R",139,117,47,-1.3085516605106409,5.749228722773301,0.2613997159491657,4.046797864168556
665625,"Peguero, Elvis",2024,"R",829,158,24,-2.6421390260106805,5.507713805687563,-0.3593520886148076,4.488538933577594
669721,"Daniel, Davis",2024,"R",508,108,49,-1.2682363691198586,5.59140755635618,0.09599669898381681,4.038243226381465
694297,"Pfaadt, Brandon",2024,"R",2791,109,28,-2.4093577108598474,5.508143097496077,-0.37239228258516216,4.436551493372828
672282,"Detmers, Reid",2024,"L",1559,108,45,1.473034373580637,6.140546357154319,-0.11330505666025226,4.532359506470966
680730,"Parker, Mitchell",2024,"L",2404,120,52,1.436465679652953,6.034572402004911,-0.034968155532520084,4.1445194951744115
689690,"Jacob, Alek",2024,"R",232,135,-1,-2.4989966408491116,3.812990127429194,-0.31472777060667534,3.857556432094782
592155,"Booser, Cam",2024,"L",695,111,39,1.858614539644492,5.7424765139989,0.1534225578681441,4.355263912591851
669211,"Akin, Keegan",2024,"L",1229,110,42,1.7223167340687942,5.9138564768942885,0.04375885369755562,4.378414295929187
669467,"Pallante, Andre",2024,"R",1883,138,59,-1.3554943936362946,5.9985643600566245,-0.2236020023893301,4.130422770487039
607259,"Martinez, Nick",2024,"R",2122,113,59,-0.8373672959795053,6.241650123173325,0.33658885527392346,4.316381573398788
502043,"Gibson, Kyle",2024,"R",2763,138,45,-1.6622144149004507,6.2476492040287015,0.0013884058700307077,4.57902133605326
700187,"Taylor, Troy",2024,"R",328,136,31,-2.1268274730103043,5.6387425164643625,-0.23683684649580447,4.522088026879266
572955,"Johnson, Pierce",2024,"R",929,144,39,-1.9383240596035451,6.132536664748144,-0.18758302940121155,4.703212298313979
656412,"Faedo, Alex",2024,"R",1007,116,33,-2.3724476988645127,6.033659063414498,-0.30563853984674155,4.716390571525169
656924,"Ryan, Ryder",2024,"R",340,134,30,-2.216195543431401,5.344535624845864,-0.18857361250917484,4.151890498060188
669212,"Morgan, Eli",2024,"R",646,114,46,-1.2221348041871392,5.674164617339971,0.3343240492707073,4.078357748492023
669724,"Hanifee, Brenan",2024,"R",470,116,33,-2.6076434236995074,5.529014496739647,-0.5763502362801988,4.230393621762051
680732,"Burke, Sean",2024,"R",309,145,41,-1.6074130908055975,6.095645882665596,0.11681024176660951,4.578093325314829
694813,"Stone, Gavin",2024,"R",2152,119,47,-1.2617736518529605,5.6119655608738315,0.26228773722905896,3.9767142615334397
664350,"Sánchez, Sixto",2024,"R",621,146,34,-2.1482682923603784,5.755868303359523,-0.25088793834910605,4.489475356290957
666142,"Ragans, Cole",2024,"L",3198,118,45,1.6491803262479257,6.337518659929694,-0.03007775470185803,4.650918547019696
