"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Harris, Hogan",663687,"L","CH",200,"81.1",2065,"20",0.9156893518014071,0.9718208483367106,244.9859751523157,246.32200363454712,"Changeup",97,585,585,-1.336028482231427,1.3360284822314143,0,9,45,9,45,0,0,"9:45","9:45"," 0H 00M"
,"Brown, Hunter",686613,"R","CH",354,"88.4",1465,"16.7",0.9405913183518437,0.9548232784651208,135.73311928549,117.45697324274352,"Changeup",95,90,120,18.27614604274649,18.27614604274651,-30,1,30,2,0,0,30,"1:30","2:00","-0H 30M"
,"deGrom, Jacob",594798,"R","CH",10,"90.5",1658,"16.2",0.8618447948547733,0.9420692612616762,128.40793610040294,109.28898343596443,"Changeup",94,105,135,19.11895266443851,19.118952664438492,-30,1,45,2,15,0,30,"1:45","2:15","-0H 30M"
,"Diekman, Jake",518617,"L","CH",57,"87",1687,"17.3",0.8941425116635133,0.9937393609307493,255.55778371551207,258.53062946511216,"Changeup",99,570,570,-2.972845749600083,2.9728457496000953,0,9,30,9,30,0,0,"9:30","9:30"," 0H 00M"
,"Paxton, James",572020,"L","CH",110,"82.6",1996,"16.8",0.8044750539644205,0.8820820100921987,251.65580899852264,241.95907883257468,"Changeup",88,570,600,9.696730165947969,9.696730165948011,-30,9,30,10,0,0,30,"9:30","10:00","-0H 30M"
,"Koenig, Jared",657649,"L","CH",38,"85.5",1639,"15.4",0.8211199482925347,0.9266435704713646,237.44667394675616,262.0336033473215,"Changeup",93,600,555,-24.58692940056534,24.586929400565353,45,10,0,9,15,0,45,"10:00","9:15","+0H 45M"
,"Assad, Javier",665871,"R","CH",117,"83.7",1434,"15.1",0.8390446229645352,0.9633439503523124,132.0963533003753,117.13345553994753,"Changeup",96,90,120,14.96289776042778,14.962897760427762,-30,1,30,2,0,0,30,"1:30","2:00","-0H 30M"
,"Chavez, Jesse",445926,"R","CH",135,"85.1",1865,"16.9",0.8539547645768611,0.9702040027960844,106.66565176461967,91.70984233547684,"Changeup",97,150,180,14.955809429142832,14.955809429142821,-30,2,30,3,0,0,30,"2:30","3:00","-0H 30M"
,"Tinoco, Jesus",622786,"R","CH",24,"90.1",1566,"17",0.9415905646925954,0.9829168941497958,113.44706565942779,96.16053835075081,"Changeup",98,135,165,17.28652730867698,17.28652730867698,-30,2,15,2,45,0,30,"2:15","2:45","-0H 30M"
,"Herget, Jimmy",623474,"R","CH",11,"86.4",1600,"14",0.762707470596932,0.8640608881198795,102.50259965533331,70.64180043035866,"Changeup",86,150,225,31.860799224974656,31.86079922497466,-75,2,30,3,45,1,15,"2:30","3:45","-1H 15M"
,"Jiménez, Joe",641729,"R","CH",46,"89",2201,"18",0.8603314999548497,0.902584401841601,132.74809465808693,108.97795491439855,"Changeup",90,90,135,23.770139743688375,23.77013974368836,-45,1,30,2,15,0,45,"1:30","2:15","-0H 45M"
,"La Sorsa, Joe",686747,"L","CH",57,"82.8",1679,"16.6",0.8522812121945291,0.9902267139512942,253.56958612717852,243.40340909907096,"Changeup",99,570,600,10.166177028107569,10.166177028107555,-30,9,30,10,0,0,30,"9:30","10:00","-0H 30M"
,"Mantiply, Joe",573009,"L","CH",228,"81",1674,"16.5",0.8609030258499898,0.9843266573537116,284.5690219398243,291.79959347245574,"Changeup",98,510,495,-7.230571532631416,7.230571532631413,15,8,30,8,15,0,15,"8:30","8:15","+0H 15M"
,"Musgrove, Joe",605397,"R","CH",108,"87.1",2126,"13.3",0.6198937929919589,0.6193734929137308,131.5183094376718,101.81937631374056,"Changeup",62,90,150,29.69893312393124,29.698933123931244,-60,1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Payamps, Joel",606303,"R","CH",67,"89.6",2138,"17.6",0.838311773245379,0.7902833316098794,126.12484643960775,99.04823042348558,"Changeup",79,105,165,27.076616016122173,27.07661601612217,-60,1,45,2,45,1,0,"1:45","2:45","-1H 00M"
,"Cueto, Johnny",456501,"R","CH",48,"81.2",1255,"12",0.7248832566636819,0.7702322296831917,123.3303987094441,101.39694582536154,"Changeup",77,120,150,21.933452884082556,21.933452884082556,-30,2,0,2,30,0,30,"2:00","2:30","-0H 30M"
,"Lyles, Jordan",543475,"R","CH",13,"84.4",1628,"14.7",0.7725361843394575,0.8387040849583097,120.46045554641393,102.67045391279855,"Changeup",84,120,150,17.790001633615375,17.79000163361538,-30,2,0,2,30,0,30,"2:00","2:30","-0H 30M"
,"Wicks, Jordan",696136,"L","CH",220,"82.2",1513,"13.5",0.7251407061798644,0.9477755059858045,233.80226782275585,245.95608956765147,"Changeup",95,615,585,-12.153821744895623,12.153821744895655,30,10,15,9,45,0,30,"10:15","9:45","+0H 30M"
,"Alcala, Jorge",660896,"R","CH",87,"91",2382,"19.8",0.9091399336190937,0.9520329084973356,136.1675986659074,122.26817094862733,"Changeup",95,90,120,13.899427717280076,13.899427717280041,-30,1,30,2,0,0,30,"1:30","2:00","-0H 30M"
,"López, Jorge",605347,"R","CH",95,"87.5",1694,"16.6",0.865756122824855,0.9824625591972951,105.62691065461559,93.71023546973902,"Changeup",98,150,180,11.916675184876567,11.916675184876576,-30,2,30,3,0,0,30,"2:30","3:00","-0H 30M"
,"Fleming, Josh",676596,"L","CH",154,"83.2",1555,"13.2",0.7064264889361458,0.8157018348199347,250.8342158539461,278.6223752121806,"Changeup",82,585,525,-27.78815935823451,27.788159358234548,60,9,45,8,45,1,0,"9:45","8:45","+1H 00M"
,"Buttó, José",676130,"R","CH",262,"87.1",1840,"9.6",0.48052909858023996,0.6862885329294415,125.77114838418791,98.91051520771796,"Changeup",69,105,165,26.860633176469946,26.86063317646994,-60,1,45,2,45,1,0,"1:45","2:45","-1H 00M"
,"Suarez, José",660761,"L","CH",227,"82.9",1547,"15.2",0.8025328806274152,0.8645050057796657,231.31988525148614,259.7322941863252,"Changeup",86,615,555,-28.41240893483905,28.41240893483903,60,10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Ureña, José",570632,"R","CH",327,"88.7",1811,"17.8",0.9172677073008539,0.9483559401580618,128.66126565855706,114.96815923618183,"Changeup",95,105,135,13.693106422375223,13.693106422375223,-30,1,45,2,15,0,30,"1:45","2:15","-0H 30M"
,"Emanuel, Kent",592288,"L","CH",38,"82.3",1713,"15.9",0.8225961490517539,0.8037129189062813,239.638314209145,261.1050564502898,"Changeup",80,600,555,-21.4667422411448,21.466742241144804,45,10,0,9,15,0,45,"10:00","9:15","+0H 45M"
,"Herget, Kevin",643361,"R","CH",53,"82.3",2111,"20.4",0.9469449094340063,0.9904423962680137,123.80923053804062,122.37716852246862,"Changeup",99,105,120,1.4320620155720007,1.4320620155720223,-15,1,45,2,0,0,15,"1:45","2:00","-0H 15M"
,"Allard, Kolby",663465,"L","CH",103,"82",1590,"16.6",0.8791242582315124,0.9956552292526396,234.99808228978256,245.97181937144808,"Changeup",100,615,585,-10.973737081665519,10.973737081665524,30,10,15,9,45,0,30,"10:15","9:45","+0H 30M"
,"Roupp, Landen",694738,"R","CH",81,"88.2",1830,"16.8",0.8354417906884539,0.883511016583066,105.3194923816772,83.17415306654375,"Changeup",88,150,195,22.14533931513344,22.14533931513343,-45,2,30,3,15,0,45,"2:30","3:15","-0H 45M"
,"Knack, Landon",689017,"R","CH",166,"84.2",1726,"16.5",0.8580256883567215,0.9831662649490267,138.28055411467855,139.91223899087942,"Changeup",98,90,75,-1.6316848762008647,1.631684876200873,15,1,30,1,15,0,15,"1:30","1:15","+0H 15M"
,"Miller, Mason",695243,"R","CH",17,"92.3",1886,"14.3",0.7224185090659945,0.8855806218307931,120.61211141663084,102.99742369049204,"Changeup",89,120,150,17.614687726138797,17.614687726138797,-30,2,0,2,30,0,30,"2:00","2:30","-0H 30M"
,"Boyd, Matthew",571510,"L","CH",173,"80.9",1861,"16.3",0.8014594874942699,0.8297124140098054,236.22466573506594,255.61541626069902,"Changeup",83,615,570,-19.39075052563308,19.390750525633102,45,10,15,9,30,0,45,"10:15","9:30","+0H 45M"
,"Scherzer, Max",453286,"R","CH",91,"82.8",1386,"14.7",0.8300127239604894,0.9898565958375453,105.75158941806444,87.20772341016237,"Changeup",99,150,180,18.543866007902068,18.54386600790208,-30,2,30,3,0,0,30,"2:30","3:00","-0H 30M"
,"King, Michael",650633,"R","CH",684,"86.7",2041,"18.7",0.8968967651565394,0.9500446303482387,118.49363128859858,101.16241373873147,"Changeup",95,120,165,17.331217549867105,17.331217549867088,-45,2,0,2,45,0,45,"2:00","2:45","-0H 45M"
,"Baumann, Mike",657508,"R","CH",20,"89.1",2127,"20.1",0.9331507576492428,0.9972352045440592,124.08142747366942,121.53919204055529,"Changeup",100,105,120,2.5422354331141293,2.542235433114095,-15,1,45,2,0,0,15,"1:45","2:00","-0H 15M"
